"","trimestre","setor","formais","informais"
"1","2019/4T","Administração pública, defesa e seguridade social",26961,3489
"2","2019/4T","Agricultura, pecuária, produção florestal, pesca e aquicultura",11926,23964
"3","2019/4T","Comércio, reparação de veículos automotores e motocicletas",25165,16752
"4","2019/4T","Construção",5439,10755
"5","2019/4T","Indústria geral",18080,8114
"6","2019/4T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",16365,4651
"7","2019/4T","Outros Serviços",24193,24959
"8","2019/4T","Transporte, armazenagem e correio",5986,4486
"9","2020/1T","Administração pública, defesa e seguridade social",23924,2890
"10","2020/1T","Agricultura, pecuária, produção florestal, pesca e aquicultura",10600,21572
"11","2020/1T","Comércio, reparação de veículos automotores e motocicletas",22335,14496
"12","2020/1T","Construção",4670,8956
"13","2020/1T","Indústria geral",16253,6738
"14","2020/1T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",14824,4146
"15","2020/1T","Outros Serviços",21229,21766
"16","2020/1T","Transporte, armazenagem e correio",5414,4010
"17","2020/2T","Administração pública, defesa e seguridade social",19820,1911
"18","2020/2T","Agricultura, pecuária, produção florestal, pesca e aquicultura",7898,14057
"19","2020/2T","Comércio, reparação de veículos automotores e motocicletas",16220,9208
"20","2020/2T","Construção",3318,5495
"21","2020/2T","Indústria geral",11850,4039
"22","2020/2T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",11300,2765
"23","2020/2T","Outros Serviços",14518,12684
"24","2020/2T","Transporte, armazenagem e correio",3803,2636
"25","2020/3T","Administração pública, defesa e seguridade social",18961,1820
"26","2020/3T","Agricultura, pecuária, produção florestal, pesca e aquicultura",7664,15021
"27","2020/3T","Comércio, reparação de veículos automotores e motocicletas",15551,9449
"28","2020/3T","Construção",3239,6174
"29","2020/3T","Indústria geral",11017,4306
"30","2020/3T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",10669,2654
"31","2020/3T","Outros Serviços",13291,12384
"32","2020/3T","Transporte, armazenagem e correio",3536,2473
"33","2020/4T","Administração pública, defesa e seguridade social",17750,1771
"34","2020/4T","Agricultura, pecuária, produção florestal, pesca e aquicultura",7026,14288
"35","2020/4T","Comércio, reparação de veículos automotores e motocicletas",14507,9257
"36","2020/4T","Construção",3152,6005
"37","2020/4T","Indústria geral",10165,4176
"38","2020/4T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",10063,2674
"39","2020/4T","Outros Serviços",12374,12468
"40","2020/4T","Transporte, armazenagem e correio",3330,2410
"41","2021/1T","Administração pública, defesa e seguridade social",23924,2890
"42","2021/1T","Agricultura, pecuária, produção florestal, pesca e aquicultura",10600,21572
"43","2021/1T","Comércio, reparação de veículos automotores e motocicletas",22335,14496
"44","2021/1T","Construção",4670,8956
"45","2021/1T","Indústria geral",16253,6738
"46","2021/1T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",14824,4146
"47","2021/1T","Outros Serviços",21229,21766
"48","2021/1T","Transporte, armazenagem e correio",5414,4010
"49","2021/2T","Administração pública, defesa e seguridade social",18056,1985
"50","2021/2T","Agricultura, pecuária, produção florestal, pesca e aquicultura",7867,16301
"51","2021/2T","Comércio, reparação de veículos automotores e motocicletas",15357,9830
"52","2021/2T","Construção",3478,6708
"53","2021/2T","Indústria geral",11331,4467
"54","2021/2T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",10538,2969
"55","2021/2T","Outros Serviços",13155,13532
"56","2021/2T","Transporte, armazenagem e correio",3636,2711
"57","2021/3T","Administração pública, defesa e seguridade social",21260,2489
"58","2021/3T","Agricultura, pecuária, produção florestal, pesca e aquicultura",9853,20944
"59","2021/3T","Comércio, reparação de veículos automotores e motocicletas",19204,12941
"60","2021/3T","Construção",4595,8664
"61","2021/3T","Indústria geral",14071,5917
"62","2021/3T","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",12880,3711
"63","2021/3T","Outros Serviços",16712,17982
"64","2021/3T","Transporte, armazenagem e correio",4472,3430
